26, Type recognition of financial events by incorporating text and time-series features., 2016, Feng Shi & Yu Zhou 0025 & Bing Kong & Ruifeng Xu, conf/icmlc/ShiZKX16, https://doi.org/10.1109/ICMLC.2016.7860874
27, Deep classification in large-scale text hierarchies., 2008, Gui-Rong Xue & Dikan Xing & Qiang Yang 0001 & Yong Yu 0001, conf/sigir/XueXYY08, https://doi.org/10.1145/1390334.1390440
28, Using clustering to enhance text classification., 2007, Antonia Kyriakopoulou & Theodore Kalamboukis, conf/sigir/KyriakopoulouK07, https://doi.org/10.1145/1277741.1277918
29, Cross-language text classification., 2005, J. Scott Olsson & Douglas W. Oard & Jan Hajic, conf/sigir/OlssonOH05, https://doi.org/10.1145/1076034.1076170
30, Topic labeled text classification: a weakly supervised approach., 2014, Swapnil Hingmire & Sutanu Chakraborti, conf/sigir/HingmireC14, https://doi.org/10.1145/2600428.2609565
31, Reliability and verification of natural language text on the world wide web (abstract only)., 2004, Melanie J. Martin, conf/sigir/Martin04, https://doi.org/10.1145/1008992.1009149
32, Co-training on authorship attribution with very fewlabeled examples: methods vs. views., 2014, Tieyun Qian & Bing Liu & Ming Zhong 0002 & Guoliang He, conf/sigir/QianL0H14, https://doi.org/10.1145/2600428.2609470
33, Context-aware query classification., 2009, Huanhuan Cao & Derek Hao Hu & Dou Shen & Daxin Jiang & Jian-Tao Sun & Enhong Chen & Qiang Yang 0001, conf/sigir/CaoHSJSCY09, https://doi.org/10.1145/1571941.1571945
34, Descriptive modelling of text classification and its integration with other IR tasks., 2011, Miguel Martinez-Alvarez, conf/sigir/Martinez-Alvarez11, https://doi.org/10.1145/2009916.2010178
35, The effect of OCR errors on stylistic text classification., 2006, Sterling Stuart Stein & Shlomo Argamon & Ophir Frieder, conf/sigir/SteinAF06, https://doi.org/10.1145/1148170.1148325
36, Context aware query classification using dynamic query window and relationship net., 2010, Nazli Goharian & Saket S. R. Mengle, conf/sigir/GoharianM10, https://doi.org/10.1145/1835449.1835584
37, Robustness of regularized linear classification methods in text categorization., 2003, Jian Zhang 0003 & Yiming Yang, conf/sigir/ZhangY03, https://doi.org/10.1145/860435.860471
38, Bayesian online classifiers for text classification and filtering., 2002, Kian Ming Adam Chai & Hai Leong Chieu & Hwee Tou Ng, conf/sigir/ChaiCN02, https://doi.org/10.1145/564376.564395
39, Large-scale author verification: temporal and topical influences., 2014, Michiel van Dam & Claudia Hauff, conf/sigir/DamH14, https://doi.org/10.1145/2600428.2609504
40, Improving text classification for oral history archives with temporal domain knowledge., 2007, J. Scott Olsson & Douglas W. Oard, conf/sigir/OlssonO07, https://doi.org/10.1145/1277741.1277848
41, Language-model-based pro/con classification of political text., 2010, Rawia Awadallah & Maya Ramanath & Gerhard Weikum, conf/sigir/AwadallahRW10, https://doi.org/10.1145/1835449.1835596
42, Towards effective short text deep classification., 2011, Xinruo Sun & Haofen Wang & Yong Yu 0001, conf/sigir/SunWY11, https://doi.org/10.1145/2009916.2010090
43, Improving hierarchical text classification using unlabeled data., 2002, Vijay Boyapati, conf/sigir/Boyapati02, https://doi.org/10.1145/564376.564445
44, A study of term weighting schemes using class information for text classification., 2012, Youngjoong Ko, conf/sigir/Ko12, https://doi.org/10.1145/2348283.2348453
45, Short text classification using very few words., 2012, Aixin Sun, conf/sigir/Sun12, https://doi.org/10.1145/2348283.2348511
46, Authorship attribution with thousands of candidate authors., 2006, Moshe Koppel & Jonathan Schler & Shlomo Argamon & Eran Messeri, conf/sigir/KoppelSAM06, https://doi.org/10.1145/1148170.1148304
47, Intelligent fusion of structural and citation-based evidence for text classification., 2005, Baoping Zhang & Yuxin Chen 0003 & Weiguo Fan & Edward A. Fox & Marcos André Gonçalves & Marco Cristo & Pável Calado, conf/sigir/ZhangCFFGCC05, https://doi.org/10.1145/1076034.1076181
48, Semantic text classification of disease reporting., 2007, Yi Zhang 0002 & Bing Liu 0001, conf/sigir/ZhangL07, https://doi.org/10.1145/1277741.1277889
49, Improving text classification accuracy using topic modeling over an additional corpus., 2008, Somnath Banerjee, conf/sigir/Banerjee08, https://doi.org/10.1145/1390334.1390546
50, Graph-based text classification: learn from your neighbors., 2006, Ralitsa Angelova & Gerhard Weikum, conf/sigir/AngelovaW06, https://doi.org/10.1145/1148170.1148254
51, A utility-theoretic ranking method for semi-automated text classification., 2012, Giacomo Berardi & Andrea Esuli & Fabrizio Sebastiani 0001, conf/sigir/BerardiES12, https://doi.org/10.1145/2348283.2348411
